description,cn:lastPubDate,dateModified,cn:dateline,cn:branding,section,cn:type,author,cn:source,cn:subtype,duration,summary,expires,cn:sectionSubType,cn:contentClassification,pubdateunix,_id,url,@id,datePublished,cn:promoImage,cn:title,cn:keyword,cn:liveURL,_pubDate,_type,_index,brand,hint,hint_detail
"Here are the biggest calls on Wall Street on Tuesday:JPMorgan initiates Firefly Aerospace at overweightJPMorgan said the company is going to be a ""leader"" in the space market.""We are initiating covera",2025-09-02T08:26:59+0000,2025-09-02T08:26:59+0000,,cnbc,Pro: Analyst Calls,cnbcnewsstory,Michael Bloom,[],,,Here are the biggest calls on Wall Street on Tuesday.,,['section'],['premium'],1756816019,904432,https://www.cnbc.com/2025/09/02/tuesday-research-by-analysts-include-nvidia-ferrari-walmart.html,108192863,2025-09-02T12:26:59+0000,https://image.cnbcfm.com/api/v1/image/107424722-17176127832024-06-05t103157z_1642672601_rc2v48ab8fg0_rtrmadp_0_taiwan-computex.jpeg?v=1719332827,"Here are Tuesday's biggest analyst calls: Nvidia, Apple, Broadcom, Ferrari, Walmart, McDonald's, Corning & more","analyst, upgrade, downgrade, price target",https://www.cnbc.com/2025/09/02/tuesday-research-by-analysts-include-nvidia-ferrari-walmart.html,9/2/2025 8:26:59 PM,0,0,cnbc,subscription,CNBC Pro
"Nvidia's latest earnings again highlighted its extraordinary success and undeniable market power: $46.7 billion in revenue, up 56 percent from a year earlier, and net income of $26.4 billion. Its fore",2025-08-31T08:30:01+0000,2025-08-31T08:30:01+0000,,cnbc,CNBC Global CFO Council,cnbcnewsstory,Dewardric L. McNeal,[],,,"Nvidia is being coy about chip sales in China, but the ultimate story may follow a well-known plot: Chinese chip local Cambricon doing what BYD did to Tesla.",,"['special_report', 'section']",[],1756643401,904307,https://www.cnbc.com/2025/08/31/nvidia-chips-china-byd-tesla.html,108192358,2025-08-31T12:30:01+0000,https://image.cnbcfm.com/api/v1/image/108174923-1753172600849-gettyimages-2224782286-AFP_66Z86KE.jpeg?v=1753172679,Op-ed: What Nvidia wouldn't say about China chip sales reveals everything you need to know,,https://www.cnbc.com/2025/08/31/nvidia-chips-china-byd-tesla.html,8/31/2025 8:30:01 PM,0,1,cnbc,,
"In Spike Lee's highly anticipated film ""Highest 2 Lowest,"" Denzel Washington plays hip-hop mogul David King, who resides in an apartment befitting the character's status.According to the Robb Report, ",2025-08-30T12:41:57+0000,2025-08-30T12:41:57+0000,,makeit,Real Estate|Life|Make It,cnbcnewsstory,Celia Fernandez,[],,,"In Spike Lee's ""Highest 2 Lowest,"" Denzel Washington's character lives in a penthouse at the Olympia Dumbo in NYC that will be on the market for $17.5 million.",,['section'],,1756566001,29398,https://www.cnbc.com/2025/08/30/look-inside-penthouse-spike-lee-highest-2-lowest-film.html,108189099,2025-08-30T15:00:01+0000,https://image.cnbcfm.com/api/v1/image/108189253-1755799376937-Untitled_design_20.png?v=1755799435,Look inside the $17 million Brooklyn penthouse Denzel Washington calls home in Spike Lee's new film 'Highest 2 Lowest',make it,https://www.cnbc.com/2025/08/30/look-inside-penthouse-spike-lee-highest-2-lowest-film.html,8/30/2025 11:00:01 PM,0,0,makeit,,
Elon Musk's artificial intelligence startup xAI has sued a former engineer at the company for allegedly stealing trade secrets related to its Grok chatbot and taking them to rival OpenAI.Musk's compan,2025-08-29T14:06:57+0000,2025-08-29T14:06:57+0000,,cnbc,AI - Artificial Intelligence,wirestory,,[],,,Elon Musk's AI startup xAI has sued a former engineer at the company for allegedly stealing trade secrets related to its Grok chatbot and taking them to OpenAI.,,['section'],[],1756490817,904230,https://www.cnbc.com/2025/08/29/musks-xai-sues-engineer-for-allegedly-taking-secrets-to-openai.html,108192589,2025-08-29T18:06:57+0000,https://image.cnbcfm.com/api/v1/image/108185314-1755093100714-Untitled-1.jpg?v=1755093168,Musk's xAI sues engineer for allegedly taking secrets to OpenAI,,https://www.cnbc.com/2025/08/29/musks-xai-sues-engineer-for-allegedly-taking-secrets-to-openai.html,8/30/2025 2:06:57 AM,0,2,cnbc,,
"Affirm stock popped 10% Friday after the buy now, pay later firm beat Wall Street's expectations across the board in its fiscal fourth-quarter results.CEO Max Levchin told CNBC on ""Money Movers"" Frida",2025-08-29T16:08:36+0000,2025-08-29T16:08:36+0000,,cnbc,Technology,cnbcnewsstory,MacKenzie Sigalos,[],,,"Going into the print, the big question was whether losing Walmart to rival Klarna would drag on results.",,"['section', 'marketsection']",[],1756474064,904182,https://www.cnbc.com/2025/08/29/affirm-stock-earnings.html,108192368,2025-08-29T13:27:44+0000,https://image.cnbcfm.com/api/v1/image/108129439-1744225477767-gettyimages-2198546816-TFSPI_12022025-4494.jpeg?v=1744226073,Affirm stock rises 10% as CEO Levchin notes continued consumer strength,,https://www.cnbc.com/2025/08/29/affirm-stock-earnings.html,8/29/2025 9:27:44 PM,0,3,cnbc,,
"Affirm shares rose 15% in extended trading on Thursday after the provider of buy now, pay later loans reported better-than-expected earnings and revenue for the fiscal fourth quarter.Here's how the co",2025-08-29T08:28:40+0000,2025-08-29T08:28:40+0000,,cnbc,Technology,cnbcnewsstory,Jennifer Elias,[],,,Affirm's earnings per share of 20 cents for the quarter was almost double what Wall Street expected.,,['section'],[],1756423627,904089,https://www.cnbc.com/2025/08/28/affirm-afrm-q4-2025-earnings-report.html,108192176,2025-08-28T23:27:07+0000,https://image.cnbcfm.com/api/v1/image/108027302-1724954436051-108027302-1724954167573-gettyimages-995761246-775159596.jpeg?v=1756420384,"Affirm's stock soars 15% on earnings, revenue beat",,https://www.cnbc.com/2025/08/28/affirm-afrm-q4-2025-earnings-report.html,8/29/2025 7:27:07 AM,0,4,cnbc,,
"Elon Musk's fervent promotion of Tesla's self-driving technology isn't doing much to win over prospective buyers.According to a new survey, more U.S. consumers say that Tesla's FSD, or Full Self-Drivi",2025-08-29T07:05:17+0000,2025-08-29T07:05:17+0000,,cnbc,Technology,cnbcnewsstory,Lora Kolodny,[],,,"Despite Elon Musk's exhaustive promotion of Tesla's FSD technology, U.S. consumers don't seem to want it.",,['section'],[],1756419259,904083,https://www.cnbc.com/2025/08/28/tesla-fsd-turns-away-more-us-consumers-than-attracts-survey-finds.html,108191659,2025-08-28T22:14:19+0000,https://image.cnbcfm.com/api/v1/image/108152755-17486318812025-05-30t185819z_1826852128_rc2iseaivnkr_rtrmadp_0_usa-trump.jpeg?v=1748633265,"Tesla FSD turns off more U.S. consumers than it attracts, survey finds",,https://www.cnbc.com/2025/08/28/tesla-fsd-turns-away-more-us-consumers-than-attracts-survey-finds.html,8/29/2025 6:14:19 AM,0,5,cnbc,,
Microsoft has largely relied on OpenAI's artificial intelligence models to power AI features in its key products. It's trying to lessen that dependence.The software company said Thursday that it's beg,2025-08-28T14:32:54+0000,2025-08-28T14:32:54+0000,,cnbc,AI Effect,cnbcnewsstory,Jordan Novet,[],,,"Microsoft wants to depend more on its own internally built artificial intelligence models for Copilot, which is available in Bing and Windows 11.",,"['special_report', 'section']",[],1756405974,904044,https://www.cnbc.com/2025/08/28/microsoft-tests-mai-1-preview-ai-model-boost-to-copilot-rival-openai.html,108192006,2025-08-28T18:32:54+0000,https://image.cnbcfm.com/api/v1/image/108192018-1756403834043-gettyimages-2207890426-MICROSOFT_COPILOT.jpeg?v=1756403916,Microsoft starts testing AI model that could escalate competition with OpenAI,,https://www.cnbc.com/2025/08/28/microsoft-tests-mai-1-preview-ai-model-boost-to-copilot-rival-openai.html,8/29/2025 2:32:54 AM,0,6,cnbc,,
"Altimeter Capital's Brad Gerstner joins CNBC's ""Halftime Report"" to give his read on Apple's AI prospects and his read on the Big Tech sector.",2025-08-28T13:21:26+0000,2025-08-28T13:21:26+0000,,cnbc,Halftime Report,cnbcvideo,,[],clips,140,"Altimeter Capital's Brad Gerstner joins CNBC's ""Halftime Report"" to give his read on Apple's AI prospects and his read on the Big Tech sector.",,"['news_show', 'marketsection', 'section']",[],1756401686,904028,https://www.cnbc.com/video/2025/08/28/altimeter-capitals-brad-gerstner-in-2025-i-have-to-say-siri-is-kind-of-garbage.html,108192001,2025-08-28T17:21:26+0000,https://image.cnbcfm.com/api/v1/image/108192002-17564014841756401482-41389379655-1080pnbcnews.jpg?v=1756401483,"Altimeter Capital's Brad Gerstner: In 2025, I have to say Siri is kind of garbage",,https://www.cnbc.com/video/2025/08/28/altimeter-capitals-brad-gerstner-in-2025-i-have-to-say-siri-is-kind-of-garbage.html,8/29/2025 1:21:26 AM,0,7,cnbc,,
"Hello, this is Spriha Srivastava, CNBC International's Executive Editor for Digital, writing from London. This week, I take a closer look at India's tightrope walk — tariffs from Washington, oil from ",2025-08-28T09:13:29+0000,2025-08-28T09:13:29+0000,,cnbc,Inside India,cnbcnewsstory,Spriha Srivastava,[],,,"India is walking a tightrope of tariffs from Washington, oil from Moscow, and an uneasy handshake with Beijing.",,"['special_report', 'section']",[],1756386809,903977,https://www.cnbc.com/2025/08/28/cnbcs-inside-india-newsletter-indias-three-way-balancing-act-tariffs-oil-and-uneasy-handshakes.html,108191132,2025-08-28T13:13:29+0000,https://image.cnbcfm.com/api/v1/image/107039623-1648729852027-gettyimages-1152489157-AFP_1HY3OT.jpeg?v=1756376351,"CNBC's Inside India newsletter: India’s three-way balancing act: Tariffs, oil, and uneasy handshakes",,https://www.cnbc.com/2025/08/28/cnbcs-inside-india-newsletter-indias-three-way-balancing-act-tariffs-oil-and-uneasy-handshakes.html,8/28/2025 9:13:29 PM,0,8,cnbc,,
Broadcom just got an upgrade before its earnings due next week.Oppenheimer analyst Rick Schafer reiterated his outperform rating and lifted his price target on Broadcom shares by $20 to $325 ahead of ,2025-08-28T09:00:36+0000,2025-08-28T09:00:36+0000,,cnbc,Pro: Analyst Calls,cnbcnewsstory,Pia Singh,[],,,Oppenheimer analyst Rick Schafer kept his outperform rating and lifted his price target on Broadcom shares by $20 to $325 ahead of earnings expected Sept. 4.,,['section'],['premium'],1756386036,903974,https://www.cnbc.com/2025/08/28/this-chipmaker-is-the-no-2-player-behind-nvidia-oppenheimer-says.html,108191809,2025-08-28T13:00:36+0000,https://image.cnbcfm.com/api/v1/image/108080298-1735318902300-gettyimages-2190940916-avils-notitle241227_npkKT.jpeg?v=1756384193,"This chipmaker is the 'no. 2' player behind Nvidia, Oppenheimer says",,https://www.cnbc.com/2025/08/28/this-chipmaker-is-the-no-2-player-behind-nvidia-oppenheimer-says.html,8/28/2025 9:00:36 PM,0,19,cnbc,subscription,CNBC Pro
"Best Buy surpassed Wall Street revenue and earnings expectations for its most recent quarter on Thursday, but stuck with its full-year forecast, citing tariff uncertainty.On the company's earnings cal",2025-08-28T16:44:34+0000,2025-08-28T16:44:34+0000,,cnbc,Retail,cnbcnewsstory,Melissa Repko,[],,,"Best Buy surpassed revenue and earnings expectations for its most recent quarter on Thursday, but stuck with its full-year forecast, citing tariff uncertainty.",,['section'],['isDeveloping'],1756380184,903950,https://www.cnbc.com/2025/08/28/best-buy-bby-earnings-q2-2026.html,108191395,2025-08-28T11:23:04+0000,https://image.cnbcfm.com/api/v1/image/108148674-1747837299974-gettyimages-2206611831-widak-dailylif250322_npHof.jpeg?v=1756317602,"Best Buy reports modest sales recovery, but says tariffs are complicating its turnaround",,https://www.cnbc.com/2025/08/28/best-buy-bby-earnings-q2-2026.html,8/28/2025 7:23:04 PM,0,20,cnbc,,
"The founder of the company behind the IRL social media app was charged with defrauding investors of $170 million in the company's 2021 funding round, the Department of Justice said Wednesday.A federal",2025-08-27T16:23:08+0000,2025-08-27T16:23:08+0000,,cnbc,Technology,cnbcnewsstory,Chris Eudaily,[],,,"Abraham Shafi, the founder and CEO of Get Together, parent company of the social media app IRL, faces charges of wire fraud, securities fraud and obstruction.",,['section'],[],1756324182,903858,https://www.cnbc.com/2025/08/27/founder-irl-social-media-fraud.html,108190700,2025-08-27T19:49:42+0000,https://image.cnbcfm.com/api/v1/image/107188267-1675364322306-gettyimages-1316424105-dsc_3289.jpeg?v=1756322741,Founder of IRL social media app charged with defrauding investors,,https://www.cnbc.com/2025/08/27/founder-irl-social-media-fraud.html,8/28/2025 3:49:42 AM,0,21,cnbc,,
"Google said Wednesday that it reached a short-term extension with Fox to prevent its channels from going dark on its YouTube TV streaming service.However, Google did not specify how long the extension",2025-08-27T17:36:30+0000,2025-08-27T17:36:30+0000,,cnbc,Technology,cnbcnewsstory,Jennifer Elias,[],,,"Google's YouTube and Fox are in a standoff over a new distribution deal, and the clock is ticking with football season starting.",,"['section', 'special_report']",[],1756322514,903852,https://www.cnbc.com/2025/08/27/whats-at-stake-youtube-tv-fox.html,108191477,2025-08-27T19:21:54+0000,https://image.cnbcfm.com/api/v1/image/108191584-1756326175156-gettyimages-2190995474-jbg_4764_pux5e2eg.jpeg?v=1756326346,"YouTube TV, Fox reach short-term extension to prevent blackout as football season starts",,https://www.cnbc.com/2025/08/27/whats-at-stake-youtube-tv-fox.html,8/28/2025 3:21:54 AM,0,22,cnbc,,
"Google has eliminated more than one-third of its managers overseeing small teams, an executive told employees last week, as the company continues its focus on efficiencies across the organization.""Rig",2025-08-28T11:34:43+0000,2025-08-28T11:34:43+0000,,cnbc,Technology,cnbcnewsstory,Jennifer Elias,[],,,"In Google's continuing effort to run more efficiently, the company has been getting rid of managers who oversee fewer than three people.",,['section'],[],1756317661,903839,https://www.cnbc.com/2025/08/27/google-executive-says-company-has-cut-a-third-of-its-managers.html,108190993,2025-08-27T18:01:01+0000,https://image.cnbcfm.com/api/v1/image/107239360-1690316720050-sundar.jpg?v=1756236504,"Google has eliminated 35% of managers overseeing small teams in past year, exec says",,https://www.cnbc.com/2025/08/27/google-executive-says-company-has-cut-a-third-of-its-managers.html,8/28/2025 2:01:01 AM,0,23,cnbc,,
The Investment Committee give you their top stocks to watch for the second half.,2025-08-27T13:07:44+0000,2025-08-27T13:07:44+0000,,cnbc,Halftime Report,cnbcvideo,,[],clips,33,The Investment Committee give you their top stocks to watch for the second half.,,"['news_show', 'marketsection', 'section']",[],1756314464,903831,https://www.cnbc.com/video/2025/08/27/final-trades-ftai-aviation-apple-coeur-mining-and-phillips-66.html,108191427,2025-08-27T17:07:44+0000,https://image.cnbcfm.com/api/v1/image/108191428-17563140711756314069-41374455567-1080pnbcnews.jpg?v=1756314071,"Final Trades: FTAI Aviation, Apple, Coeur Mining and Phillips 66",,https://www.cnbc.com/video/2025/08/27/final-trades-ftai-aviation-apple-coeur-mining-and-phillips-66.html,8/28/2025 1:07:44 AM,0,24,cnbc,,
"Club stock Apple may have experienced a huge rally this month, but according to Jim Cramer, the tech giant still has more in store to delight investors. That's because Apple is expected to unveil new ",2025-08-27T12:56:48+0000,2025-08-27T12:56:48+0000,,cnbc,CNBC Investing Club: Analysis,cnbcnewsstory,Morgan Chittum,[],,,Apple is expected to rollout a new iPhone at the company's annual launch next month.,,"['section', 'special_report', 'marketsection']","['subscriberAlert', 'investingClub']",1756313742,903826,https://www.cnbc.com/2025/08/27/cramer-says-apple-still-has-a-lot-up-its-sleeve-even-after-its-august-stock-run.html,108191352,2025-08-27T16:55:42+0000,https://image.cnbcfm.com/api/v1/image/108156700-1749492383905-gettyimages-2219347508-_75a6261_xqpv981e.jpeg?v=1756303854,Cramer says Apple still has 'a lot up its sleeve' even after its August stock run,,https://www.cnbc.com/2025/08/27/cramer-says-apple-still-has-a-lot-up-its-sleeve-even-after-its-august-stock-run.html,8/28/2025 12:55:42 AM,0,25,cnbc,subscription,Investing Club
CNBC's Jim Cramer breaks down why he's keeping an eye on shares of Apple.,2025-08-27T10:33:58+0000,2025-08-27T10:33:58+0000,,cnbc,Squawk on the Street,cnbcvideo,,[],clips,76,CNBC's Jim Cramer breaks down why he's keeping an eye on shares of Apple.,,"['news_show', 'section', 'marketsection']",[],1756305238,903794,https://www.cnbc.com/video/2025/08/27/cramers-stop-trading-apple.html,108191315,2025-08-27T14:33:58+0000,https://image.cnbcfm.com/api/v1/image/108191316-17563048621756304859-41372786833-1080pnbcnews.jpg?v=1756304861,Cramer's Stop Trading: Apple,,https://www.cnbc.com/video/2025/08/27/cramers-stop-trading-apple.html,8/27/2025 10:33:58 PM,0,26,cnbc,,
"Any day now, a federal judge is expected to issue a landmark ruling that could upend some of the most lucrative deals in Silicon Valley: Google's default search contracts.At stake is more than $26 bil",2025-08-27T10:54:44+0000,2025-08-27T10:54:44+0000,,cnbc,Technology,cnbcnewsstory,MacKenzie Sigalos,[],,,Wall Street analysts have considered the upside if Google stopped shelling out billions to Apple and instead redirected that money into its Gemini AI and cloud.,,['section'],[],1756303654,903786,https://www.cnbc.com/2025/08/27/google-search-antitrust-decision-apple.html,108188590,2025-08-27T14:07:34+0000,https://image.cnbcfm.com/api/v1/image/108145053-17471706252025-05-13t210652z_1420090466_rc28hea02mex_rtrmadp_0_alphabet-results.jpeg?v=1753198701,Google might lose its $26 billion search deals. Analysts say that could fuel its AI growth,,https://www.cnbc.com/2025/08/27/google-search-antitrust-decision-apple.html,8/27/2025 10:07:34 PM,0,27,cnbc,,
"My top 10 things to watch Wednesday, Aug. 271. It's Nvidia day. In a preview for Club members, we outlined four burning questions for tonight's call, including what's happening with orders for the new",2025-08-27T09:27:56+0000,2025-08-27T09:27:56+0000,,cnbc,CNBC Investing Club: Cramer’s Morning Thoughts,cnbcnewsstory,Jim Cramer,[],,,"It's Nvidia earnings day, and Goldman Sachs is encouraged by what Apple's iPhone launch event could have in store.",,"['section', 'special_report', 'marketsection']",['registeredOnly'],1756299750,903773,https://www.cnbc.com/2025/08/27/jim-cramers-top-10-things-to-watch-in-the-stock-market-wednesday.html,108191235,2025-08-27T13:02:30+0000,https://image.cnbcfm.com/api/v1/image/108148697-1748377092018-GettyImages-2215609505.jpg?v=1756299132,Jim Cramer's top 10 things to watch in the stock market Wednesday,,https://www.cnbc.com/2025/08/27/jim-cramers-top-10-things-to-watch-in-the-stock-market-wednesday.html,8/27/2025 9:02:30 PM,0,28,cnbc,subscription,Investing Club
"Walter Isaacson, Tulane University professor and Perella Weinberg advisory partner, joins 'Squawk Box' to discuss the U.S. government's stake in Intel, his thoughts on industrial policy, Elon Musk's x",2025-08-27T08:47:38+0000,2025-08-27T08:47:38+0000,,cnbc,Squawk Box U.S.,cnbcvideo,,[],clips,513,"Walter Isaacson, Tulane University professor and Perella Weinberg advisory partner, joins 'Squawk Box' to discuss the U.S. government's stake in Intel, his thoughts on industrial policy, Elon Musk's xAI lawsuit against OpenAI and Apple, Fed independence, and more.",,"['news_show', 'section', 'videosection']",[],1756298858,903769,https://www.cnbc.com/video/2025/08/27/walter-isaacson-on-u-s-governments-stake-in-intel-state-capitalism-is-always-a-bad-idea.html,108191250,2025-08-27T12:47:38+0000,https://image.cnbcfm.com/api/v1/image/108191251-17562978711756297868-41371538673-1080pnbcnews.jpg?v=1756297871,Walter Isaacson on U.S. government's stake in Intel: State capitalism is always a bad idea,,https://www.cnbc.com/video/2025/08/27/walter-isaacson-on-u-s-governments-stake-in-intel-state-capitalism-is-always-a-bad-idea.html,8/27/2025 8:47:38 PM,0,39,cnbc,,
"Walter Isaacson, Tulane University professor and Perella Weinberg advisory partner, joins 'Squawk Box' to discuss the U.S. government's stake in Intel, his thoughts on industrial policy, Elon Musk's x",2025-08-27T08:40:36+0000,2025-08-27T08:40:36+0000,,cnbc,Squawk Box U.S.,cnbcvideo,,[],clips,791,"Walter Isaacson, Tulane University professor and Perella Weinberg advisory partner, joins 'Squawk Box' to discuss the U.S. government's stake in Intel, his thoughts on industrial policy, Elon Musk's xAI lawsuit against OpenAI and Apple, Fed independence, and more.",,"['news_show', 'section']",['premium'],1756298436,903768,https://www.cnbc.com/video/2025/08/27/watch-cnbcs-full-interview-with-tulane-university-professor-walter-isaacson.html,108191248,2025-08-27T12:40:36+0000,https://image.cnbcfm.com/api/v1/image/108191249-17562978361756297832-41371530057-1080pnbcnews.jpg?v=1756297835,Watch CNBC's full interview with Tulane University professor Walter Isaacson,,https://www.cnbc.com/video/2025/08/27/watch-cnbcs-full-interview-with-tulane-university-professor-walter-isaacson.html,8/27/2025 8:40:36 PM,0,40,cnbc,,
"Here are Wednesday's biggest calls on Wall Street:Cantor Fitzgerald initiates CoreWeave as buyCantor said it is bullish on shares of CoreWeave.""We believe CoreWeave should benefit from secular growth ",2025-08-27T09:01:41+0000,2025-08-27T09:01:41+0000,,cnbc,Pro: Analyst Calls,cnbcnewsstory,Michael Bloom,[],,,Here are Wednesday's biggest calls on Wall Street.,,['section'],['premium'],1756297240,903764,https://www.cnbc.com/2025/08/27/stocks-wednesday-from-analyst-calls-like-nvidia.html,108191068,2025-08-27T12:20:40+0000,https://image.cnbcfm.com/api/v1/image/107427174-17181135562024-06-05t192525z_2006826915_rc2658av1ttg_rtrmadp_0_nvidia-stocks-apple.jpeg?v=1721671128,"Here are Wednesday's biggest analyst calls: Nvidia, Apple, Ralph Lauren, DoorDash, CoreWeave, Krispy Kreme and more","analyst, upgrade, downgrade, price target",https://www.cnbc.com/2025/08/27/stocks-wednesday-from-analyst-calls-like-nvidia.html,8/27/2025 8:20:40 PM,0,41,cnbc,subscription,CNBC Pro
"CNBC's Steve Kovach and Big Technology's Alex Kantrowitz join 'Closing Bell' to discuss Apple's AI ambitions, the company's desire to acquire and much more.",2025-08-26T15:38:28+0000,2025-08-26T15:38:28+0000,,cnbc,Closing Bell,cnbcvideo,,[],clips,286,"CNBC's Steve Kovach and Big Technology's Alex Kantrowitz join 'Closing Bell' to discuss Apple's AI ambitions, the company's desire to acquire and much more.",,"['news_show', 'section']",[],1756237108,903670,https://www.cnbc.com/video/2025/08/26/apple-perplexity-deal-still-a-no-brainer-says-big-technologys-alex-kantrowitz.html,108190996,2025-08-26T19:38:28+0000,https://image.cnbcfm.com/api/v1/image/108190997-17562367251756236718-41361194648-1080pnbcnews.jpg?v=1756236725,"Apple-Perplexity deal still a no-brainer, says Big Technology's Alex Kantrowitz",Perplexity,https://www.cnbc.com/video/2025/08/26/apple-perplexity-deal-still-a-no-brainer-says-big-technologys-alex-kantrowitz.html,8/27/2025 3:38:28 AM,0,42,cnbc,,
"Every weekday, the CNBC Investing Club with Jim Cramer releases the Homestretch — an actionable afternoon update, just in time for the last hour of trading on Wall Street.Market update: Stocks are sli",2025-08-27T08:09:39+0000,2025-08-27T08:09:39+0000,,cnbc,CNBC Investing Club: Homestretch,cnbcnewsstory,Morgan Chittum,[],,,"Every weekday, the Investing Club releases the Homestretch; an actionable afternoon update just in time for the last hour of trading.",,"['section', 'special_report', 'marketsection']",['investingClub'],1756233332,903661,https://www.cnbc.com/2025/08/26/apples-next-product-launch-plus-another-good-sign-for-deals-on-street.html,108190920,2025-08-26T18:35:32+0000,https://image.cnbcfm.com/api/v1/image/108150582-1748345504907-gettyimages-2172544799-AVaishnav_iPhone_16_series_on_sale_at_Apple_store_in_Mumbai_India_4.jpeg?v=1753250647,"Apple's next big product launch, plus another good sign for Street dealmaking",,https://www.cnbc.com/2025/08/26/apples-next-product-launch-plus-another-good-sign-for-deals-on-street.html,8/27/2025 2:35:32 AM,0,43,cnbc,subscription,Investing Club
The 'Halftime' Investment Committee debate Apple's interest in Perplexity AI and if the company should buy the company and what it could mean for the stock.,2025-08-26T14:12:24+0000,2025-08-26T14:12:24+0000,,cnbc,Halftime Report,cnbcvideo,,[],clips,381,The 'Halftime' Investment Committee debate Apple's interest in Perplexity AI and if the company should buy the company and what it could mean for the stock.,,"['news_show', 'section', 'marketsection']",[],1756231944,903654,https://www.cnbc.com/video/2025/08/26/the-halftime-investment-committee-debate-whether-apple-should-buy-perplexity.html,108190921,2025-08-26T18:12:24+0000,https://image.cnbcfm.com/api/v1/image/108190922-17562316111756231608-41360292239-1080pnbcnews.jpg?v=1756231610,The 'Halftime' Investment Committee debate whether Apple should buy Perplexity,,https://www.cnbc.com/video/2025/08/26/the-halftime-investment-committee-debate-whether-apple-should-buy-perplexity.html,8/27/2025 2:12:24 AM,0,44,cnbc,,
The S&P 500 index has bounced back from its April lows.Yet experts say investors would be wise to watch the risks before pursuing an investment strategy concentrated in the large-cap company-focused S,2025-08-26T13:42:41+0000,2025-08-26T13:42:41+0000,,cnbc,ETF Strategist,cnbcnewsstory,Lorie Konish,[],,,"A ""set-it-and-forget-it"" strategy focused on the S&P 500 may no longer work in today's market, depending on your time horizon, according to Morgan Stanley.",,"['special_report', 'section']",[],1756230161,903650,https://www.cnbc.com/2025/08/26/sp-500-index-diversify.html,108190698,2025-08-26T17:42:41+0000,https://image.cnbcfm.com/api/v1/image/108170978-17522559032025-07-11t151616z_1975930020_rc2ekfab7tpt_rtrmadp_0_usa-stocks.jpeg?v=1752524556,S&P 500 index investors have been rewarded so far in 2025. Why experts say it may be time to diversify,,https://www.cnbc.com/2025/08/26/sp-500-index-diversify.html,8/27/2025 1:42:41 AM,0,45,cnbc,,
"Josh Brown expects Apple shareholders to reap immediate rewards if the iPhone maker struggling with artificial intelligence goes through with a deal for Perplexity AI.""If they do it, you get a new all",2025-08-26T13:19:03+0000,2025-08-26T13:19:03+0000,,cnbc,Josh Brown’s Market Insights,cnbcnewsstory,Sarah Min,[],,,"The CEO of Ritholtz Wealth Management made his comments following a report from The Information, citing people familiar, that said Apple executives are discussing the possibility of buying the startup.",,['special_report'],['premium'],1756228743,903646,https://www.cnbc.com/2025/08/26/josh-brown-says-if-apple-announced-a-deal-with-perplexity-ai-the-shares-would-hit-a-record-that-very-day.html,108190876,2025-08-26T17:19:03+0000,https://image.cnbcfm.com/api/v1/image/108171455-1752496121076-gettyimages-2224163358-AFP_66M63PQ.jpeg?v=1756225389,"Josh Brown says if Apple announced a deal with Perplexity AI, the shares would hit a record that very day",,https://www.cnbc.com/2025/08/26/josh-brown-says-if-apple-announced-a-deal-with-perplexity-ai-the-shares-would-hit-a-record-that-very-day.html,8/27/2025 1:19:03 AM,0,46,cnbc,,
"Apple on Tuesday sent invites to the media and analysts for a launch event at its campus on September 9 at 10 A.M pacific time.The tagline on the invite is: ""Awe dropping.""Apple is expected to release",2025-08-26T12:18:56+0000,2025-08-26T12:18:56+0000,,cnbc,Technology,cnbcnewsstory,Kif Leswing,[],,,"Apple is expected to release the iPhone 17, as it usually launches new models in September.",,['section'],['isDeveloping'],1756224371,903637,https://www.cnbc.com/2025/08/26/apple-announces-iphone-launch-on-sept-9-.html,108190854,2025-08-26T16:06:11+0000,https://image.cnbcfm.com/api/v1/image/108190869-1756224767247-image.png?v=1756224920,"Apple announces launch event on Sept. 9, iPhone 17 expected",,https://www.cnbc.com/2025/08/26/apple-announces-iphone-launch-on-sept-9-.html,8/27/2025 12:06:11 AM,0,47,cnbc,,
"Apple's forthcoming launch of the iPhone 17 could see the stock slip as investors treat the new handset as a ""sell the news"" event, if history is any guide, although better-than-expected artificial in",2025-08-26T12:22:51+0000,2025-08-26T12:22:51+0000,,cnbc,Pro: Analyst Calls,cnbcnewsstory,Brian Evans,[],,,The forthcoming event comes as Apple notched its biggest revenue growth in four years last month.,,"['section', 'marketsection']",['premium'],1756220918,903622,https://www.cnbc.com/2025/08/26/new-iphones-typically-have-been-sell-the-news-events-for-apple-will-it-be-again.html,108190227,2025-08-26T15:08:38+0000,https://image.cnbcfm.com/api/v1/image/108170758-1752235737575-gettyimages-2223863614-20090101250711-99-426941.jpeg?v=1756132282,New iPhone's typically have been sell-the-news events for Apple. Will it be again?,,https://www.cnbc.com/2025/08/26/new-iphones-typically-have-been-sell-the-news-events-for-apple-will-it-be-again.html,8/26/2025 11:08:38 PM,0,48,cnbc,subscription,CNBC Pro
